date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-09-20 00:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,4,29,83,0.0,1010,25,10,26,3,singapore
2018-09-20 01:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,3,27,84,0.0,1010,25,10,27,2,singapore
2018-09-20 02:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,3,24,84,0.0,1009,25,10,28,2,singapore
2018-09-20 03:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,2,22,84,0.0,1009,25,10,30,1,singapore
2018-09-20 04:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,29,29,26,2,25,83,0.0,1010,25,10,130,1,singapore
2018-09-20 05:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,2,28,81,0.0,1010,26,10,231,2,singapore
2018-09-20 06:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,31,31,27,3,31,80,0.0,1010,26,10,332,2,singapore
2018-09-20 07:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,34,34,29,2,38,71,0.0,1010,29,10,235,2,singapore
2018-09-20 08:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,36,36,32,2,45,61,0.1,1010,31,10,138,2,singapore
2018-09-20 09:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,39,39,34,2,51,52,0.1,1011,33,10,41,1,singapore
2018-09-20 10:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,38,38,33,3,64,54,0.1,1010,33,10,91,3,singapore
2018-09-20 11:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,37,37,33,5,77,56,0.0,1010,32,10,141,5,singapore
2018-09-20 12:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,37,37,32,7,90,58,0.0,1009,32,10,191,6,singapore
2018-09-20 13:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,36,36,32,8,73,60,0.0,1009,31,9,174,6,singapore
2018-09-20 14:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,36,36,31,9,56,62,1.5,1008,31,8,157,6,singapore
2018-09-20 15:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,36,36,31,10,39,63,2.0,1008,30,7,141,6,singapore
2018-09-20 16:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,34,34,30,8,49,68,1.0,1008,29,8,120,5,singapore
2018-09-20 17:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,32,32,28,6,60,72,0.0,1009,28,9,100,4,singapore
2018-09-20 18:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,4,70,76,0.0,1009,27,10,80,3,singapore
2018-09-20 19:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,5,68,77,0.0,1010,27,10,85,3,singapore
2018-09-20 20:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,5,65,79,0.6,1010,27,10,89,3,singapore
2018-09-20 21:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,6,63,80,0.8,1011,26,10,94,3,singapore
2018-09-20 22:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,5,69,81,0.4,1011,26,10,116,3,singapore
2018-09-20 23:00:00,33,25,0.0,8.9,7,72,03:35 PM,03:06 AM,06:55 AM,07:01 PM,23,30,30,27,5,74,81,0.0,1010,26,10,139,3,singapore
2018-09-21 00:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,30,30,27,5,80,82,0.0,1010,26,10,162,3,singapore
2018-09-21 01:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,30,30,27,4,69,82,0.0,1010,26,10,165,2,singapore
2018-09-21 02:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,30,30,26,3,57,83,0.0,1010,26,10,168,2,singapore
2018-09-21 03:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,30,30,26,2,46,83,0.0,1009,26,10,171,1,singapore
2018-09-21 04:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,30,30,27,2,40,82,0.0,1010,26,10,205,1,singapore
2018-09-21 05:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,31,31,27,2,34,81,0.0,1010,27,10,240,1,singapore
2018-09-21 06:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,32,32,28,1,28,80,0.0,1011,27,10,274,1,singapore
2018-09-21 07:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,34,34,29,3,30,74,0.0,1011,28,10,245,3,singapore
2018-09-21 08:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,36,36,31,5,32,67,0.2,1011,30,9,215,4,singapore
2018-09-21 09:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,38,38,32,7,34,61,0.3,1011,32,9,185,5,singapore
2018-09-21 10:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,37,37,32,7,36,62,0.1,1011,31,9,186,6,singapore
2018-09-21 11:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,37,37,31,7,38,64,0.0,1011,31,10,187,6,singapore
2018-09-21 12:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,36,36,31,7,41,65,0.0,1010,30,10,188,6,singapore
2018-09-21 13:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,35,35,30,9,36,67,0.0,1010,30,8,178,6,singapore
2018-09-21 14:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,35,35,30,10,32,68,2.6,1010,29,5,169,6,singapore
2018-09-21 15:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,24,34,34,30,12,28,70,3.5,1009,29,3,159,6,singapore
2018-09-21 16:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,33,33,29,9,35,73,1.7,1010,28,5,174,5,singapore
2018-09-21 17:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,31,31,28,6,43,76,0.0,1010,27,8,188,3,singapore
2018-09-21 18:00:00,32,26,0.0,11.6,6,80,04:21 PM,03:53 AM,06:54 AM,07:01 PM,23,30,30,27,3,50,79,0.0,1011,27,10,203,2,singapore
